Year,Scenario,Probability,Vehicle_Class,Chemistry,EOL_Volume
2031,S4,0.1893,Cars,LFP,641056
2031,S4,0.1893,Cars,NMC,393229
2032,S4,0.1893,Cars,LFP,787617
2032,S4,0.1893,Cars,NMC,417541
2033,S4,0.1893,Cars,LFP,934215
2033,S4,0.1893,Cars,NMC,428938
2034,S4,0.1893,Cars,LFP,1075354
2034,S4,0.1893,Cars,NMC,430616
2035,S4,0.1893,Cars,LFP,1206716
2035,S4,0.1893,Cars,NMC,426866
2021,S4,0.1893,Vans,LFP,30
2021,S4,0.1893,Vans,NMC,71
2022,S4,0.1893,Vans,LFP,260
2022,S4,0.1893,Vans,NMC,553
2023,S4,0.1893,Vans,LFP,961
2023,S4,0.1893,Vans,NMC,1771
2024,S4,0.1893,Vans,LFP,2434
2024,S4,0.1893,Vans,NMC,3897
2025,S4,0.1893,Vans,LFP,4967
2025,S4,0.1893,Vans,NMC,6889
2026,S4,0.1893,Vans,LFP,8773
2026,S4,0.1893,Vans,NMC,10480
2027,S4,0.1893,Vans,LFP,13887
2027,S4,0.1893,Vans,NMC,14180
2028,S4,0.1893,Vans,LFP,20156
2028,S4,0.1893,Vans,NMC,17407
2029,S4,0.1893,Vans,LFP,27251
2029,S4,0.1893,Vans,NMC,19691
2030,S4,0.1893,Vans,LFP,34734
2030,S4,0.1893,Vans,NMC,20835
2031,S4,0.1893,Vans,LFP,42170
2031,S4,0.1893,Vans,NMC,20967
2032,S4,0.1893,Vans,LFP,49207
2032,S4,0.1893,Vans,NMC,20449
2033,S4,0.1893,Vans,LFP,55632
2033,S4,0.1893,Vans,NMC,19714
2034,S4,0.1893,Vans,LFP,61339
2034,S4,0.1893,Vans,NMC,19105
2035,S4,0.1893,Vans,LFP,66299
2035,S4,0.1893,Vans,NMC,18801
2021,S5,0.2047,2 and 3 wheelers,LFP,19187
2021,S5,0.2047,2 and 3 wheelers,NMC,44770
2022,S5,0.2047,2 and 3 wheelers,LFP,224457
2022,S5,0.2047,2 and 3 wheelers,NMC,489825
2023,S5,0.2047,2 and 3 wheelers,LFP,964023
2023,S5,0.2047,2 and 3 wheelers,NMC,1844607
2024,S5,0.2047,2 and 3 wheelers,LFP,2593007
2024,S5,0.2047,2 and 3 wheelers,NMC,4237823
2025,S5,0.2047,2 and 3 wheelers,LFP,5184030
2025,S5,0.2047,2 and 3 wheelers,NMC,6949988
2026,S5,0.2047,2 and 3 wheelers,LFP,8405991
2026,S5,0.2047,2 and 3 wheelers,NMC,8761862
2027,S5,0.2047,2 and 3 wheelers,LFP,11793280
2027,S5,0.2047,2 and 3 wheelers,NMC,9130915
2028,S5,0.2047,2 and 3 wheelers,LFP,15084233
2028,S5,0.2047,2 and 3 wheelers,NMC,8587982
2029,S5,0.2047,2 and 3 wheelers,LFP,18151831
2029,S5,0.2047,2 and 3 wheelers,NMC,7832086
2030,S5,0.2047,2 and 3 wheelers,LFP,20862949
2030,S5,0.2047,2 and 3 wheelers,NMC,7166566
2031,S5,0.2047,2 and 3 wheelers,LFP,23106572
2031,S5,0.2047,2 and 3 wheelers,NMC,6711307
2032,S5,0.2047,2 and 3 wheelers,LFP,24862517
2032,S5,0.2047,2 and 3 wheelers,NMC,6544630
2033,S5,0.2047,2 and 3 wheelers,LFP,26244033
2033,S5,0.2047,2 and 3 wheelers,NMC,6637190
2034,S5,0.2047,2 and 3 wheelers,LFP,27483143
2034,S5,0.2047,2 and 3 wheelers,NMC,6881047
2035,S5,0.2047,2 and 3 wheelers,LFP,28701866
2035,S5,0.2047,2 and 3 wheelers,NMC,7176168
2021,S5,0.2047,Buses,LFP,90
2021,S5,0.2047,Buses,NMC,211
2022,S5,0.2047,Buses,LFP,557
