State,Year,Month,Registrations,Month_Num,Date
CHANDIGARH,2021,DEC,3374,12,2021-12-01
CHANDIGARH,2022,JAN,2930,1,2022-01-01
CHANDIGARH,2022,FEB,3283,2,2022-02-01
CHANDIGARH,2022,MAR,4363,3,2022-03-01
CHANDIGARH,2022,APR,4183,4,2022-04-01
CHANDIGARH,2022,MAY,4340,5,2022-05-01
CHANDIGARH,2022,JUN,4061,6,2022-06-01
CHANDIGARH,2022,JUL,5049,7,2022-07-01
CHANDIGARH,2022,AUG,4042,8,2022-08-01
CHANDIGARH,2022,SEP,4313,9,2022-09-01
CHANDIGARH,2022,OCT,5866,10,2022-10-01
CHANDIGARH,2022,NOV,4359,11,2022-11-01
CHANDIGARH,2022,DEC,4070,12,2022-12-01
CHANDIGARH,2023,JAN,4795,1,2023-01-01
CHANDIGARH,2023,FEB,3256,2,2023-02-01
CHANDIGARH,2023,MAR,3559,3,2023-03-01
CHANDIGARH,2023,APR,4850,4,2023-04-01
CHANDIGARH,2023,MAY,5324,5,2023-05-01
CHANDIGARH,2023,JUN,5772,6,2023-06-01
CHANDIGARH,2023,JUL,4663,7,2023-07-01
CHANDIGARH,2023,AUG,4360,8,2023-08-01
CHANDIGARH,2023,SEP,4029,9,2023-09-01
CHANDIGARH,2023,OCT,4366,10,2023-10-01
CHANDIGARH,2023,NOV,4940,11,2023-11-01
CHANDIGARH,2023,DEC,3323,12,2023-12-01
CHANDIGARH,2024,JAN,3719,1,2024-01-01
CHANDIGARH,2024,FEB,3303,2,2024-02-01
CHANDIGARH,2024,MAR,3408,3,2024-03-01
CHANDIGARH,2024,APR,3516,4,2024-04-01
CHANDIGARH,2024,MAY,3747,5,2024-05-01
CHANDIGARH,2024,JUN,3459,6,2024-06-01
CHANDIGARH,2024,JUL,4271,7,2024-07-01
CHANDIGARH,2024,AUG,3935,8,2024-08-01
CHANDIGARH,2024,SEP,3040,9,2024-09-01
CHANDIGARH,2024,OCT,6921,10,2024-10-01
CHANDIGARH,2024,NOV,3547,11,2024-11-01
CHANDIGARH,2024,DEC,3529,12,2024-12-01
CHANDIGARH,2025,JAN,4230,1,2025-01-01
CHANDIGARH,2025,FEB,3165,2,2025-02-01
CHANDIGARH,2025,MAR,4219,3,2025-03-01
CHANDIGARH,2025,APR,3887,4,2025-04-01
CHANDIGARH,2025,MAY,3487,5,2025-05-01
CHANDIGARH,2025,JUN,3890,6,2025-06-01
CHANDIGARH,2025,JUL,4336,7,2025-07-01
